id,daily_rain
0,0.0002
1,0.0002
2,0.0002
3,0.0002
4,0.0002
5,0.0002
6,0.0002
7,0.0002
8,0.0002
9,0.0002
10,0.0002
11,0.0002
12,0.0002
13,0.0002
14,0.0002
15,0.0002
16,0.6533
17,0.6533
18,0.6533
19,0.6533
20,0.6533
21,0.6533
22,0.6533
23,0.6533
24,0.6533
25,0.6533
26,0.6533
27,0.6533
28,0.1
29,0.1
30,0.1
31,0.1
32,0.1
33,0.1
34,0.1
35,0.1
36,0.1
37,0.1
38,0.1
39,0.1
40,0.1
41,0.1
42,0.1
43,0.1
44,0.1
45,0.1
46,0.1
47,0.1
48,0.1
49,0.1
50,0.1
51,0.1
52,0.598
53,0.598
54,0.598
55,0.598
56,0.598
57,0.598
58,0.598
59,0.598
60,0.598
61,0.598
62,0.598
63,0.598
64,0.2761
65,0.2761
66,0.2761
67,0.2761
68,0.2761
69,0.2761
70,0.2761
71,0.2761
72,0.2761
73,0.2761
74,0.2761
75,0.2761
76,0.2761
77,0.2761
78,0.2761
79,0.2761
80,0.2761
81,0.2761
82,0.2761
83,0.2761
84,0.2761
85,0.2761
86,0.2761
87,0.2761
88,0.0982
89,0.0982
90,0.0982
91,0.0982
92,0.0982
93,0.0982
94,0.0982
95,0.0982
96,0.0982
97,0.0982
98,0.0982
99,0.0982
100,0.0982
101,0.0982
102,0.0982
103,0.0982
104,0.0982
105,0.0982
106,0.0982
107,0.0002
108,0.0002
109,0.0002
110,0.0002
111,0.0002
112,0.0002
113,0.0002
114,0.0002
115,0.0002
116,0.0002
117,0.0002
118,0.0002
119,0.0002
120,0.0002
121,0.0002
122,0.0002
123,0.6533
124,0.6533
125,0.6533
126,0.6533
127,0.6533
128,0.6533
129,0.6533
130,0.6533
131,0.6533
132,0.6533
133,0.6533
134,0.6533
135,0.1
136,0.1
137,0.1
138,0.1
139,0.1
140,0.1
141,0.1
142,0.1
143,0.1
144,0.1
145,0.1
146,0.1
147,0.1
148,0.1
149,0.1
150,0.1
151,0.1
152,0.1
153,0.1
154,0.1
155,0.1
156,0.1
157,0.1
158,0.1
159,0.598
160,0.598
161,0.598
162,0.598
163,0.598
164,0.598
165,0.598
166,0.598
167,0.598
168,0.598
169,0.598
170,0.598
171,0.2761
172,0.2761
173,0.2761
174,0.2761
175,0.2761
176,0.2761
177,0.2761
178,0.2761
179,0.2761
180,0.2761
181,0.2761
182,0.2761
183,0.2761
184,0.2761
185,0.2761
186,0.2761
187,0.2761
188,0.2761
189,0.2761
190,0.2761
191,0.2761
192,0.2761
193,0.2761
194,0.2761
195,0.0982
196,0.0982
197,0.0982
198,0.0982
199,0.0982
200,0.0982
201,0.0982
202,0.0982
203,0.0982
204,0.0982
205,0.0982
206,0.0982
207,0.0982
208,0.0982
209,0.0982
210,0.0982
211,0.0982
212,0.0982
213,0.0982
214,0.0002
215,0.0002
216,0.0002
217,0.0002
218,0.0002
219,0.0002
220,0.0002
221,0.0002
222,0.0002
223,0.0002
224,0.0002
225,0.0002
226,0.0002
227,0.0002
228,0.0002
229,0.0002
230,0.6533
231,0.6533
232,0.6533
233,0.6533
234,0.6533
235,0.6533
236,0.6533
237,0.6533
238,0.6533
239,0.6533
240,0.6533
241,0.6533
242,0.1
243,0.1
244,0.1
245,0.1
246,0.1
247,0.1
248,0.1
249,0.1
250,0.1
251,0.1
252,0.1
253,0.1
254,0.1
255,0.1
256,0.1
257,0.1
258,0.1
259,0.1
260,0.1
261,0.1
262,0.1
263,0.1
264,0.1
265,0.1
266,0.598
267,0.598
268,0.598
269,0.598
270,0.598
271,0.598
272,0.598
273,0.598
274,0.598
275,0.598
276,0.598
277,0.598
278,0.2761
279,0.2761
280,0.2761
281,0.2761
282,0.2761
283,0.2761
284,0.2761
285,0.2761
286,0.2761
287,0.2761
288,0.2761
289,0.2761
290,0.2761
291,0.2761
292,0.2761
293,0.2761
294,0.2761
295,0.2761
296,0.2761
297,0.2761
298,0.2761
299,0.2761
300,0.2761
301,0.2761
302,0.0982
303,0.0982
304,0.0982
305,0.0982
306,0.0982
307,0.0982
308,0.0982
309,0.0982
310,0.0982
311,0.0982
312,0.0982
313,0.0982
314,0.0982
315,0.0982
316,0.0982
317,0.0982
318,0.0982
319,0.0982
320,0.0982
321,0.0002
322,0.0002
323,0.0002
324,0.0002
325,0.0002
326,0.0002
327,0.0002
328,0.0002
329,0.0002
330,0.0002
331,0.0002
332,0.0002
333,0.0002
334,0.0002
335,0.0002
336,0.0002
337,0.6533
338,0.6533
339,0.6533
340,0.6533
341,0.6533
342,0.6533
343,0.6533
344,0.6533
345,0.6533
346,0.6533
347,0.6533
348,0.6533
349,0.1
350,0.1
351,0.1
352,0.1
353,0.1
354,0.1
355,0.1
356,0.1
357,0.1
358,0.1
359,0.1
360,0.1
361,0.1
362,0.1
363,0.1
364,0.1
365,0.1
366,0.1
367,0.1
368,0.1
369,0.1
370,0.1
371,0.1
372,0.1
373,0.598
374,0.598
375,0.598
376,0.598
377,0.598
378,0.598
379,0.598
380,0.598
381,0.598
382,0.598
383,0.598
384,0.598
385,0.2761
